kind,pref,name,area,lat,lon,mlat,mlon
fishing,岩手県,白浜(鵜住居)漁港,釜石東部,39.33065,141.94392,39.33065,141.94392
fishing,岩手県,白糠漁港,白糠 泊,41.13321,141.39303,41.13321,141.39303
fishing,岩手県,矢の浦漁港,広田湾,38.98931,141.66979,38.98931,141.66979
fishing,岩手県,石浜漁港,重茂,39.52203,142.02945,39.52203,142.02945
fishing,岩手県,砂子浜漁港,綾里,39.07421,141.83854,39.07421,141.83854
fishing,岩手県,碁石漁港,大船渡市,38.98847,141.73701,38.98847,141.73701
fishing,岩手県,種市漁港,種市,40.40541,141.72199,40.40541,141.72199
fishing,岩手県,箱崎漁港,釜石東部,39.32534,141.91406,39.32534,141.91406
fishing,岩手県,綾里漁港,綾里,39.04069,141.79644,39.04069,141.79644
fishing,岩手県,織笠漁港,織笠,39.45287,141.96252,39.45287,141.96252
fishing,岩手県,脇之沢漁港,広田湾,39.00456,141.65835,39.00456,141.65835
fishing,岩手県,舟渡漁港,久慈市,40.18086,141.81972,40.18086,141.81972
fishing,岩手県,船越漁港,船越湾,39.42371,141.97974,39.42371,141.97974
fishing,岩手県,茂師漁港,小本浜,39.8307,141.98085,39.8307,141.98085
fishing,岩手県,蛸の浜漁港,宮古,39.65118,141.97139,39.65118,141.97139
fishing,岩手県,蛸ノ浦漁港,大船渡市,39.03174,141.73666,39.03174,141.73666
fishing,岩手県,要谷漁港,広田湾,38.98347,141.62535,38.98347,141.62535
fishing,岩手県,角浜漁港,種市,40.44297,141.68941,40.44297,141.68941
fishing,岩手県,越喜来漁港,越喜来,39.11374,141.81949,39.11374,141.81949
fishing,岩手県,重茂漁港,重茂,39.57555,142.03028,39.57555,142.03028
fishing,岩手県,野田漁港,野田村,40.11696,141.83388,40.11696,141.83388
fishing,岩手県,野野前漁港,綾里,39.05236,141.81755,39.05236,141.81755
fishing,岩手県,釜石漁港,釜石湾,39.27115,141.89917,39.27115,141.89917
fishing,岩手県,長崎漁港,大船渡市,39.02017,141.75254,39.02017,141.75254
fishing,岩手県,長部漁港,広田湾,38.99208,141.62424,38.99208,141.62424
fishing,岩手県,門の浜漁港,大船渡市,38.99653,141.71701,38.99653,141.71701
fishing,岩手県,青野滝漁港,田老町,39.76756,141.99028,39.76756,141.99028
fishing,岩手県,音部漁港,重茂,39.59925,142.02917,39.59925,142.02917
fishing,岩手県,須久洞漁港,小本浜,39.88627,141.9616,39.88627,141.9616
fishing,岩手県,高家漁港,種市南,40.29849,141.79535,40.29849,141.79535
fishing,岩手県,鬼沢漁港,越喜来,39.0868,141.81199,39.0868,141.81199
fishing,岩手県,鹿糠漁港,種市,40.3947,141.72638,40.3947,141.72638
fishing,岩手県,麦生漁港,久慈市,40.22614,141.83121,40.22614,141.83121
fishing,岩手県,黒崎漁港,岩崎村,40.0079,141.92274,40.0079,141.92274
port,宮城県,仙台塩釜港,宮城県,38.32254,141.09087,38.32254,141.09087
port,宮城県,女川港,宮城県,38.42173,141.48265,38.42173,141.48265
port,宮城県,御崎港,宮城県,38.86085,141.66605,38.86085,141.66605
port,宮城県,気仙沼港,宮城県,38.88595,141.59642,38.88595,141.59642
port,宮城県,荻浜港,宮城県,38.37361,141.44743,38.37361,141.44743
port,宮城県,表浜港,宮城県,38.3256,141.46449,38.3256,141.46449
port,宮城県,金華山港,宮城県,38.29334,141.54976,38.29334,141.54976
port,宮城県,雄勝港,宮城県,38.50159,141.50232,38.50159,141.50232
fishing,宮城県,ばなな漁港,歌津町,38.72104,141.55906,38.72104,141.55906
fishing,宮城県,二十一浜漁港,大谷本吉,38.76066,141.52098,38.76066,141.52098
fishing,宮城県,仁斗田漁港,石巻地区,38.2941,141.42706,38.2941,141.42706
fishing,宮城県,今朝磯漁港,大谷本吉,38.75745,141.52755,38.75745,141.52755
fishing,宮城県,伊里前漁港,歌津町,38.71453,141.52377,38.71453,141.52377
